wavenumber_cm-1,intensity
2984.3071786310516,6.7223969141622745e-130
2990.3171953255423,9.778089480321392e-127
2996.3272120200336,1.2994714584198211e-123
3002.3372287145244,1.577837831426332e-120
3008.347245409015,1.750414355390034e-117
3014.357262103506,1.7741986717312533e-114
3020.3672787979967,1.6430338654541825e-111
3026.3772954924875,1.390188405515448e-108
3032.3873121869783,1.0746911957145884e-105
3038.397328881469,7.590608662307174e-103
3044.40734557596,4.898379110088944e-100
3050.4173622704507,2.8880923005408187e-97
3056.4273789649415,1.5557959083887305e-94
3062.4373956594322,7.657324697449312e-92
3068.447412353923,3.443375483692395e-89
3074.457429048414,1.4147333284369958e-86
3080.4674457429046,5.31064985772114e-84
3086.477462437396,1.8213928771619587e-81
3092.4874791318866,5.707454804735679e-79
3098.4974958263774,1.6340457445111045e-76
3104.507512520868,4.274337601790469e-74
3110.517529215359,1.0215422046190002e-71
3116.52754590985,2.230625633739522e-69
3122.5375626043406,4.450204260368412e-67
3128.5475792988314,8.111778503018154e-65
3134.557595993322,1.350937022264747e-62
3140.567612687813,2.0555924108649085e-60
3146.5776293823037,2.857733918209583e-58
3152.5876460767945,3.6298564900969655e-56
3158.5976627712853,4.2125008608149e-54
3164.607679465776,4.466562670507792e-52
3170.6176961602673,4.327028375054794e-50
3176.627712854758,3.829913242411727e-48
3182.637729549249,3.0972125546887502e-46
3188.6477462437397,2.2884212278909787e-44
3194.6577629382305,1.5448410682170697e-42
3200.6677796327212,9.528280344372052e-41
3206.677796327212,5.369429306139484e-39
3212.687813021703,2.764551042882395e-37
3218.6978297161936,1.3004809018438453e-35
3224.7078464106844,5.589413332071794e-34
3230.717863105175,2.1948829053391776e-32
3236.727879799666,7.874797005018136e-31
3242.7378964941568,2.5813700130246676e-29
3248.7479131886475,7.731148864462133e-28
3254.7579298831383,2.11553732772795e-26
3260.7679465776296,5.289081162191443e-25
3266.7779632721204,1.2081549900609734e-23
3272.787979966611,2.5214360303041037e-22
3278.797996661102,4.807907888312463e-21
3284.8080133555927,8.376203207045564e-20
3290.8180300500835,1.333279349958865e-18
3296.8280467445743,1.9390007743610864e-17
3302.838063439065,2.5764261242640737e-16
3308.848080133556,3.127809451073167e-15
3314.8580968280467,3.469331208780556e-14
3320.8681135225374,3.515880616872309e-13
